libmnl 1.0.5-1
libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmtp 1.1.20-1
libndp 1.8-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.21-8
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.3-1
libnghttp2 1.50.0-1
libnl 3.7.0-1
libnm 1.40.2-1
libnma 1.10.4-3
libnma-common 1.10.4-3
libnotify 0.8.1-1
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenmpt 0.6.6-2
libotf 0.9.16-3
libp11-kit 0.24.1-1
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.17-1
libpgm 5.3.128-2
libpipeline 1.5.6-1
libplacebo 4.208.0-1
libpng 1.6.38-1
libproxy 0.4.18-1
libpsl 0.21.1-3
libpulse 16.1-3
libqmi 1.32.0-1
libqrtr-glib 1.2.2-2
libraqm 0.9.0-1
libraw1394 2.1.2-3
librewolf-bin 106.0.4-1
librsvg 2:2.55.1-1
libsamplerate 0.2.2-1
libsasl 2.1.28-3
libseccomp 2.5.4-1
libsecret 0.20.5-2
libshout 1:2.4.6-2
libsidplayfp 2.4.0-1
libsm 1.2.3-3
libsndfile 1.1.0-3
libsodium 1.0.18-2
libsoup3 3.2.2-1
libsoxr 0.1.3-2
libssh 0.10.4-3
libssh2 1.10.0-3
libstemmer 2.2.0-2
libsynctex 2022.62885-3
libsysprof-capture 3.46.0-1
libtasn1 4.19.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-4
libtirpc 1.3.3-1
libtool 2.4.7-5
libunistring 1.1-2
libunwind 1.6.2-1
libupnp 1.14.14-1
liburing 2.3-1
libusb 1.0.26-1
libuv 1.44.2-1
libva 2.16.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvorbis 1.3.7-3
libvpx 1.12.0-1
libvterm 0.3-1
libwacom 2.5.0-1
libwebp 1.2.4-1
libx11 1.8.2-1
libxau 1.0.10-1
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.30-1
libxcursor 1.2.1-1
libxcvt 0.1.2-1
libxdamage 1.1.5-4
libxdmcp 1.1.3-4
libxext 1.3.5-1
libxfixes 6.0.0-1
libxfont2 2.0.6-1
libxft 2.3.6-1
libxi 1.8-1
libxinerama 1.1.5-1
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.1-1
libxml2 2.10.3-2
libxmu 1.1.4-1
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.11-1
libxshmfence 1.3.1-1
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.11-5
libxvmc 1.0.13-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
libzen 0.4.39-1
libzip 1.9.2-1
licenses 20220125-1
lilv 0.24.20-1
linux 6.0.8.arch1-1
linux-api-headers 5.18.15-1
linux-firmware 20221109.60310c2-1
linux-firmware-whence 20221109.60310c2-1
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lua 5.4.4-2
lua53 5.3.6-1
luajit 2.1.0.beta3.r449.gdad04f17-1
lv2 1.18.10-1
lynx 2.8.9-6
lz4 1:1.9.4-1
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-13
m4 1.4.19-1
mailcap 2.1.53-1
maim 5.7.4-5
make 4.3-5
man-db 2.11.0-1
man-pages 6.01-1
md4c 0.4.8-1
mediainfo 22.09-1
mesa 22.2.3-1
mkinitcpio 32-2
mkinitcpio-busybox 1.35.0-1
mkinitcpio-nfs-utils 0.3-7
mobile-broadband-provider-info 20221107-1
modemmanager 1.20.0-1
moreutils 0.67-4
mpc 0.34-2
mpd 0.23.10-2
mpfr 4.1.0.p13-3
mpg123 1.31.1-1
mpv 1:0.34.1-5
msgpack-c 4.0.0-1
msmtp 1.8.22-2
mtdev 1.1.6-2
mujs 1.3.1-1
mutt-wizard-git 3.3.1.r57.g7978f41-1
nano 6.4-1
ncmpcpp 0.9.2-9
ncurses 6.3-3
neofetch 7.1.0-2
neomutt 20220429-1
neovim 0.8.0-3
net-tools 2.10-1
netctl 1.28-1
netpbm 10.73.37-2
nettle 3.8.1-1
network-manager-applet 1.30.0-1
networkmanager 1.40.2-1
newsboat 2.29-1
nftables 1:1.0.5-1
nm-connection-editor 1.30.0-1
notmuch-runtime 0.37-2
noto-fonts 20220810-1
noto-fonts-emoji 20220920-1
npth 1.6-3
nspr 4.35-1
nss 3.85-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p15-2
nvme-cli 2.2-2
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
openal 1.22.2-1
opencore-amr 0.1.6-1
openjpeg2 2.5.0-1
openmpi 4.1.4-4
openpmix 4.2.2-1
openssh 9.1p1-3
openssl 3.0.7-2
opus 1.3.1-3
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-mirrorlist 20221016-1
pam 1.5.2-1
pambase 20221020-1
pamixer 1.6-2
pango 1:1.50.11-1
paru 1.11.1-1
pass 1.7.4-3
patch 2.7.6-8
pciutils 3.8.0-2
pcre 8.45-3
pcre2 10.40-3
perl 5.36.0-1
perl-error 0.17029-4
perl-io-tty 1.17-1
perl-ipc-run 20220807.0-1
perl-mailtools 2.21-6
perl-time-duration 1:1.21-1
perl-timedate 2.33-4
pinentry 1.2.1-1
pipewire 1:0.3.59-5
pipewire-audio 1:0.3.59-5
pipewire-pulse 1:0.3.59-5
pixman 0.42.2-1
pkgconf 1.8.0-1
